Schedule.exported.from;data/regimes/fig5_Refinement/5.1_RandomSearch.csv;;;;;;;;
Lamp timestamp;2025-01-23 20:24:46;;;;;;;;
;380nm;400nm;420nm;450nm;530nm;620nm;660nm;735nm;5700k
00:00:00;0;388;723;0;0;0;808;936;0
00:05:00;0;507;734;0;0;0;759;923;0
00:10:00;0;505;832;0;0;0;769;940;0
00:15:00;0;542;659;0;0;0;759;974;0
00:20:00;0;478;685;0;0;0;848;944;0
00:25:00;0;459;739;0;0;0;802;976;0
00:30:00;0;434;811;0;0;0;749;943;0
00:35:00;0;509;831;0;0;0;831;971;0
00:40:00;0;356;710;0;0;0;837;956;0
00:45:00;0;427;670;0;0;0;828;952;0
00:50:00;0;551;657;0;0;0;826;964;0
00:55:00;0;551;765;0;0;0;756;932;0
01:00:00;0;448;719;0;0;0;767;970;0
01:05:00;0;429;670;0;0;0;798;949;0
01:10:00;0;512;834;0;0;0;744;985;0
01:15:00;0;464;756;0;0;0;848;912;0
01:20:00;0;375;817;0;0;0;758;988;0
01:25:00;0;483;746;0;0;0;757;918;0
01:30:00;0;528;722;0;0;0;821;925;0
01:35:00;0;442;729;0;0;0;791;910;0
01:40:00;0;385;680;0;0;0;810;969;0
01:45:00;0;524;835;0;0;0;847;934;0
01:50:00;0;353;851;0;0;0;758;930;0
01:55:00;0;465;799;0;0;0;828;962;0
02:00:00;0;540;803;0;0;0;774;924;0
02:05:00;0;533;738;0;0;0;771;925;0
02:10:00;0;510;819;0;0;0;746;950;0
02:15:00;0;389;661;0;0;0;834;940;0
02:20:00;0;408;683;0;0;0;793;958;0
02:25:00;0;522;683;0;0;0;812;988;0
02:30:00;0;400;768;0;0;0;766;960;0
02:35:00;0;367;789;0;0;0;746;963;0
02:40:00;0;365;778;0;0;0;772;992;0
02:45:00;0;503;669;0;0;0;746;923;0
02:50:00;0;411;661;0;0;0;762;962;0
02:55:00;0;407;852;0;0;0;801;993;0
03:00:00;0;428;806;0;0;0;845;922;0
03:05:00;0;454;748;0;0;0;798;992;0
03:10:00;0;405;710;0;0;0;768;964;0
03:15:00;0;550;772;0;0;0;832;989;0
03:20:00;0;464;761;0;0;0;842;910;0
03:25:00;0;433;853;0;0;0;758;911;0
03:30:00;0;543;677;0;0;0;844;911;0
03:35:00;0;487;774;0;0;0;801;930;0
03:40:00;0;396;691;0;0;0;830;945;0
03:45:00;0;375;715;0;0;0;771;984;0
03:50:00;0;446;729;0;0;0;774;998;0
03:55:00;0;430;817;0;0;0;807;983;0
04:00:00;0;423;799;0;0;0;769;911;0
04:05:00;0;523;678;0;0;0;844;950;0
04:10:00;0;0;778;0;0;686;223;983;0
04:15:00;0;0;760;0;0;671;247;990;0
04:20:00;0;0;726;0;0;690;193;1000;0
04:25:00;0;0;747;0;0;667;191;996;0
04:30:00;0;0;740;0;0;685;210;991;0
04:35:00;0;0;741;0;0;664;260;997;0
04:40:00;0;0;735;0;0;689;272;995;0
04:45:00;0;0;762;0;0;688;259;994;0
04:50:00;0;0;735;0;0;664;221;984;0
04:55:00;0;0;777;0;0;689;225;983;0
05:00:00;0;0;741;0;0;670;286;999;0
05:05:00;0;0;757;0;0;679;271;995;0
05:10:00;0;0;761;0;0;673;191;994;0
05:15:00;0;0;731;0;0;678;242;985;0
05:20:00;0;0;775;0;0;678;198;987;0
05:25:00;0;0;736;0;0;680;207;999;0
05:30:00;0;0;760;0;0;686;297;990;0
05:35:00;0;0;746;0;0;689;196;996;0
05:40:00;0;0;735;0;0;680;228;998;0
05:45:00;0;0;749;0;0;670;262;998;0
05:50:00;0;0;753;0;0;679;209;987;0
05:55:00;0;0;761;0;0;689;188;998;0
06:00:00;0;0;732;0;0;678;263;990;0
06:05:00;0;0;726;0;0;667;231;991;0
06:10:00;0;0;767;0;0;689;275;1000;0
06:15:00;0;0;776;0;0;670;298;1000;0
06:20:00;0;0;751;0;0;666;199;998;0
06:25:00;0;0;763;0;0;678;224;987;0
06:30:00;0;0;748;0;0;678;206;994;0
06:35:00;0;0;745;0;0;665;214;986;0
06:40:00;0;0;777;0;0;684;266;995;0
06:45:00;0;0;761;0;0;668;199;985;0
06:50:00;0;0;771;0;0;683;215;999;0
06:55:00;0;0;736;0;0;669;261;994;0
07:00:00;0;0;733;0;0;677;197;983;0
07:05:00;0;0;739;0;0;668;195;987;0
07:10:00;0;0;726;0;0;663;260;985;0
07:15:00;0;0;739;0;0;667;228;985;0
07:20:00;0;0;752;0;0;689;205;999;0
07:25:00;0;0;765;0;0;684;280;989;0
07:30:00;0;0;726;0;0;679;246;997;0
07:35:00;0;0;760;0;0;668;185;994;0
07:40:00;0;0;756;0;0;673;240;1000;0
07:45:00;0;0;739;0;0;680;271;986;0
07:50:00;0;0;777;0;0;664;254;995;0
07:55:00;0;0;752;0;0;690;253;983;0
08:00:00;0;0;751;0;0;668;280;987;0
08:05:00;0;0;756;0;0;665;240;987;0
08:10:00;0;0;751;0;0;682;188;984;0
08:15:00;0;0;741;0;0;687;259;986;0
08:20:00;0;0;281;274;0;0;966;29;0
08:25:00;0;0;222;272;0;0;968;67;0
08:30:00;0;0;253;278;0;0;982;52;0
08:35:00;0;0;248;273;0;0;988;60;0
08:40:00;0;0;246;269;0;0;958;26;0
08:45:00;0;0;237;284;0;0;948;21;0
08:50:00;0;0;250;277;0;0;973;33;0
08:55:00;0;0;313;278;0;0;959;29;0
09:00:00;0;0;217;281;0;0;973;43;0
09:05:00;0;0;300;273;0;0;979;67;0
09:10:00;0;0;279;278;0;0;989;4;0
09:15:00;0;0;219;283;0;0;959;36;0
09:20:00;0;0;219;274;0;0;961;43;0
09:25:00;0;0;272;270;0;0;991;45;0
09:30:00;0;0;318;274;0;0;982;38;0
09:35:00;0;0;250;274;0;0;997;62;0
09:40:00;0;0;295;270;0;0;970;0;0
09:45:00;0;0;261;284;0;0;958;46;0
09:50:00;0;0;242;277;0;0;953;58;0
09:55:00;0;0;218;274;0;0;997;38;0
10:00:00;0;0;265;283;0;0;968;64;0
10:05:00;0;0;272;269;0;0;976;47;0
10:10:00;0;0;305;286;0;0;997;33;0
10:15:00;0;0;232;277;0;0;956;46;0
10:20:00;0;0;275;274;0;0;999;60;0
10:25:00;0;0;294;278;0;0;978;51;0
10:30:00;0;0;261;285;0;0;1000;38;0
10:35:00;0;0;257;287;0;0;953;22;0
10:40:00;0;0;314;273;0;0;993;69;0
10:45:00;0;0;221;287;0;0;998;17;0
10:50:00;0;0;308;282;0;0;964;69;0
10:55:00;0;0;258;285;0;0;939;50;0
11:00:00;0;0;223;281;0;0;980;3;0
11:05:00;0;0;226;278;0;0;991;14;0
11:10:00;0;0;244;276;0;0;996;57;0
11:15:00;0;0;231;269;0;0;946;35;0
11:20:00;0;0;247;278;0;0;998;44;0
11:25:00;0;0;217;276;0;0;972;32;0
11:30:00;0;0;223;272;0;0;950;20;0
11:35:00;0;0;302;269;0;0;954;35;0
11:40:00;0;0;239;269;0;0;945;31;0
11:45:00;0;0;226;272;0;0;993;65;0
11:50:00;0;0;219;274;0;0;962;47;0
11:55:00;0;0;254;273;0;0;945;32;0
12:00:00;0;0;248;273;0;0;944;33;0
12:05:00;0;0;267;281;0;0;996;25;0
12:10:00;0;0;249;274;0;0;946;11;0
12:15:00;0;0;289;283;0;0;944;38;0
12:20:00;0;0;217;280;0;0;983;2;0
12:25:00;0;0;288;285;0;0;989;29;0
