Schedule.exported.from;data/regimes/fig5_Refinement/5_RandomSearch.csv;;;;;;;;
Lamp timestamp;2025-12-19 12:18:11;;;;;;;;
;380nm;400nm;420nm;450nm;530nm;620nm;660nm;735nm;5700k
00:00:00;462;423;0;0;0;793;153;0;0
00:05:00;488;747;0;0;0;720;100;0;0
00:10:00;530;599;0;0;0;877;156;0;0
00:15:00;449;476;0;0;0;918;15;0;0
00:20:00;550;481;0;0;0;841;32;0;0
00:25:00;484;510;0;0;0;718;194;0;0
00:30:00;389;289;0;0;0;969;36;0;0
00:35:00;529;727;0;0;0;740;68;0;0
00:40:00;496;509;0;0;0;743;35;0;0
00:45:00;559;397;0;0;0;999;191;0;0
00:50:00;524;489;0;0;0;759;176;0;0
00:55:00;425;442;0;0;0;873;172;0;0
01:00:00;380;356;0;0;0;690;184;0;0
01:05:00;554;555;0;0;0;940;24;0;0
01:10:00;466;267;0;0;0;701;62;0;0
01:15:00;379;498;0;0;0;744;169;0;0
01:20:00;374;743;0;0;0;819;77;0;0
01:25:00;443;559;0;0;0;770;132;0;0
01:30:00;584;793;0;0;0;954;208;0;0
01:35:00;447;279;0;0;0;837;10;0;0
01:40:00;564;417;0;0;0;868;17;0;0
01:45:00;474;575;0;0;0;814;2;0;0
01:50:00;502;464;0;0;0;918;189;0;0
01:55:00;486;746;0;0;0;956;26;0;0
02:00:00;436;472;0;0;0;827;150;0;0
02:05:00;561;545;0;0;0;812;121;0;0
02:10:00;392;344;0;0;0;861;54;0;0
02:15:00;489;593;0;0;0;933;16;0;0
02:20:00;451;437;0;0;0;828;17;0;0
02:25:00;529;803;0;0;0;898;105;0;0
02:30:00;545;345;0;0;0;844;42;0;0
02:35:00;585;673;0;0;0;969;32;0;0
02:40:00;392;572;0;0;0;816;178;0;0
02:45:00;548;276;0;0;0;776;208;0;0
02:50:00;423;263;0;0;0;754;99;0;0
02:55:00;388;371;0;0;0;807;113;0;0
03:00:00;443;325;0;0;0;688;180;0;0
03:05:00;507;440;0;0;0;842;183;0;0
03:10:00;585;618;0;0;0;960;84;0;0
03:15:00;523;423;0;0;0;806;143;0;0
03:20:00;546;591;0;0;0;999;54;0;0
03:25:00;537;798;0;0;0;868;85;0;0
03:30:00;581;441;0;0;0;710;142;0;0
03:35:00;411;344;0;0;0;923;84;0;0
03:40:00;530;779;0;0;0;941;184;0;0
03:45:00;582;502;0;0;0;912;81;0;0
03:50:00;528;743;0;0;0;700;130;0;0
03:55:00;565;760;0;0;0;713;121;0;0
04:00:00;501;545;0;0;0;972;131;0;0
04:05:00;482;630;0;0;0;749;113;0;0
04:10:00;0;0;861;0;0;714;312;904;0
04:15:00;0;0;999;0;0;828;691;960;0
04:20:00;0;0;772;0;0;836;883;897;0
04:25:00;0;0;769;0;0;891;881;946;0
04:30:00;0;0;775;0;0;694;606;970;0
04:35:00;0;0;826;0;0;858;635;906;0
04:40:00;0;0;775;0;0;720;582;904;0
04:45:00;0;0;916;0;0;723;420;911;0
04:50:00;0;0;993;0;0;902;871;982;0
04:55:00;0;0;762;0;0;827;670;950;0
05:00:00;0;0;860;0;0;789;475;917;0
05:05:00;0;0;984;0;0;864;573;973;0
05:10:00;0;0;839;0;0;807;326;957;0
05:15:00;0;0;788;0;0;695;286;996;0
05:20:00;0;0;787;0;0;849;234;952;0
05:25:00;0;0;920;0;0;827;817;892;0
05:30:00;0;0;979;0;0;856;615;997;0
05:35:00;0;0;969;0;0;777;238;909;0
05:40:00;0;0;972;0;0;787;984;976;0
05:45:00;0;0;797;0;0;788;768;955;0
05:50:00;0;0;892;0;0;782;596;937;0
05:55:00;0;0;964;0;0;732;815;900;0
06:00:00;0;0;815;0;0;884;641;978;0
06:05:00;0;0;915;0;0;702;533;889;0
06:10:00;0;0;804;0;0;828;755;957;0
06:15:00;0;0;992;0;0;847;498;978;0
06:20:00;0;0;999;0;0;769;390;979;0
06:25:00;0;0;904;0;0;781;442;955;0
06:30:00;0;0;929;0;0;768;904;979;0
06:35:00;0;0;868;0;0;730;963;917;0
06:40:00;0;0;955;0;0;862;487;977;0
06:45:00;0;0;789;0;0;795;891;917;0
06:50:00;0;0;862;0;0;780;806;955;0
06:55:00;0;0;953;0;0;700;793;969;0
