Schedule.exported.from;data/regimes/fig5_Refinement/5a_RandomSearch.csv;;;;;;;;
Lamp timestamp;2025-01-06 14:59:21;;;;;;;;
;380nm;400nm;420nm;450nm;530nm;620nm;660nm;735nm;5700k
00:00:00;0;0;303;296;0;2;987;64;0
00:05:00;2;0;349;294;0;1;996;72;0
00:10:00;1;0;254;304;0;4;996;69;0
00:15:00;2;0;286;285;0;0;1004;68;0
00:20:00;0;0;191;294;0;3;997;60;0
00:25:00;2;0;269;302;0;2;1003;64;0
00:30:00;3;0;290;299;0;2;975;63;0
00:35:00;0;0;301;299;0;2;996;64;0
00:40:00;3;0;257;284;0;0;974;71;0
00:45:00;2;0;249;291;0;2;983;63;0
00:50:00;3;0;192;285;0;4;979;63;0
00:55:00;2;0;272;292;0;3;1006;61;0
01:00:00;1;0;246;298;0;4;975;65;0
01:05:00;0;0;247;300;0;2;985;71;0
01:10:00;1;0;211;296;0;2;1002;59;0
01:15:00;3;0;267;301;0;3;998;65;0
01:20:00;1;0;314;286;0;4;999;72;0
01:25:00;0;0;331;295;0;0;1005;62;0
01:30:00;1;0;319;299;0;1;986;62;0
01:35:00;1;0;211;302;0;1;1003;63;0
01:40:00;2;0;324;284;0;0;994;70;0
01:45:00;2;0;288;290;0;3;1000;69;0
01:50:00;3;0;314;285;0;2;974;65;0
01:55:00;3;0;230;284;0;0;989;68;0
02:00:00;0;0;182;296;0;1;994;68;0
02:05:00;3;0;193;304;0;3;990;67;0
02:10:00;0;0;270;298;0;1;972;65;0
02:15:00;3;0;340;297;0;2;1002;65;0
02:20:00;2;0;284;292;0;0;1003;70;0
02:25:00;3;0;195;285;0;1;979;71;0
02:30:00;3;0;324;287;0;1;975;60;0
02:35:00;2;0;200;295;0;3;988;59;0
02:40:00;1;0;200;294;0;1;987;61;0
02:45:00;1;0;317;302;0;2;980;66;0
02:50:00;1;0;220;291;0;1;976;69;0
02:55:00;0;0;195;293;0;0;983;71;0
03:00:00;0;0;183;292;0;4;986;61;0
03:05:00;2;0;187;292;0;1;989;63;0
03:10:00;0;0;225;300;0;4;978;59;0
03:15:00;3;0;331;285;0;4;1004;68;0
03:20:00;0;0;243;300;0;3;986;68;0
03:25:00;3;0;284;302;0;0;993;65;0
03:30:00;3;0;224;288;0;1;990;72;0
03:35:00;1;0;258;288;0;1;998;67;0
03:40:00;0;0;248;295;0;2;996;62;0
03:45:00;2;0;312;287;0;3;997;59;0
03:50:00;0;0;297;296;0;3;1004;65;0
03:55:00;3;0;262;285;0;1;978;68;0
04:00:00;3;0;191;295;0;2;999;62;0
04:05:00;0;0;293;304;0;2;995;63;0
04:10:00;2;0;255;287;0;0;996;60;0
04:15:00;2;0;232;288;0;0;984;65;0
04:20:00;3;0;340;292;0;4;990;64;0
04:25:00;0;0;181;290;0;1;1005;62;0
04:30:00;1;0;298;286;0;1;997;63;0
04:35:00;1;0;260;284;0;0;983;61;0
04:40:00;3;0;249;302;0;0;985;67;0
04:45:00;1;0;340;299;0;1;985;72;0
04:50:00;0;0;286;290;0;2;975;69;0
04:55:00;0;0;232;295;0;2;973;60;0
05:00:00;2;0;287;301;0;1;976;62;0
05:05:00;2;0;192;303;0;0;979;68;0
05:10:00;1;0;305;295;0;3;991;59;0
05:15:00;0;0;300;292;0;3;974;68;0
05:20:00;1;0;229;294;0;0;994;71;0
05:25:00;2;0;338;295;0;2;1006;59;0
05:30:00;1;0;265;295;0;1;975;70;0
05:35:00;3;0;232;304;0;4;980;71;0
05:40:00;2;0;235;288;0;4;985;66;0
05:45:00;0;0;349;294;0;4;1005;70;0
05:50:00;2;0;299;295;0;3;998;71;0
05:55:00;3;0;263;300;0;4;998;61;0
06:00:00;0;0;275;284;0;4;989;60;0
06:05:00;0;0;251;296;0;4;993;59;0
06:10:00;3;0;246;302;0;2;982;72;0
06:15:00;3;0;274;287;0;4;977;65;0
06:20:00;2;0;250;297;0;4;982;64;0
06:25:00;1;0;330;291;0;0;998;69;0
06:30:00;1;0;258;302;0;1;976;68;0
06:35:00;2;0;286;288;0;1;992;71;0
06:40:00;1;0;314;288;0;4;972;59;0
06:45:00;0;0;198;288;0;1;993;71;0
06:50:00;1;0;214;293;0;0;987;60;0
06:55:00;3;0;305;293;0;4;988;60;0
07:00:00;2;0;305;290;0;0;978;67;0
07:05:00;2;0;345;291;0;2;975;71;0
07:10:00;1;0;208;300;0;3;986;69;0
07:15:00;2;0;204;297;0;0;989;61;0
07:20:00;3;0;239;298;0;1;1001;63;0
07:25:00;1;0;245;298;0;3;989;63;0
07:30:00;3;0;309;287;0;3;982;60;0
07:35:00;3;0;224;293;0;3;990;66;0
07:40:00;1;0;323;298;0;2;992;59;0
07:45:00;2;0;265;301;0;3;990;60;0
07:50:00;0;0;249;304;0;0;974;68;0
07:55:00;1;0;293;300;0;4;974;63;0
08:00:00;2;0;205;302;0;2;1004;70;0
08:05:00;3;0;321;300;0;1;996;69;0
08:10:00;1;0;269;303;0;2;1005;61;0
08:15:00;0;0;267;294;0;1;976;64;0
08:20:00;2;0;324;288;0;3;980;70;0
08:25:00;2;0;262;302;0;3;994;60;0
08:30:00;0;0;212;297;0;3;992;68;0
08:35:00;1;0;260;297;0;2;997;69;0
08:40:00;1;0;186;294;0;0;995;68;0
08:45:00;1;0;291;299;0;3;1003;66;0
08:50:00;0;0;250;296;0;1;977;65;0
08:55:00;0;0;299;301;0;2;1000;68;0
09:00:00;2;0;317;299;0;3;997;67;0
09:05:00;2;0;242;301;0;4;1001;68;0
09:10:00;2;0;241;288;0;2;1007;65;0
09:15:00;0;0;296;287;0;2;999;67;0
09:20:00;2;0;198;288;0;2;983;70;0
09:25:00;1;0;186;287;0;1;973;65;0
09:30:00;2;0;204;285;0;1;989;60;0
09:35:00;3;0;298;286;0;4;988;59;0
09:40:00;1;0;284;294;0;0;996;67;0
09:45:00;1;0;302;287;0;3;974;61;0
09:50:00;3;0;196;297;0;2;973;65;0
09:55:00;0;0;306;301;0;2;978;61;0
10:00:00;1;0;193;297;0;1;1005;69;0
10:05:00;2;0;286;294;0;1;1002;59;0
10:10:00;2;0;237;289;0;0;993;60;0
10:15:00;2;0;198;297;0;4;1001;68;0
10:20:00;1;0;342;297;0;3;975;62;0
10:25:00;2;0;269;295;0;0;987;66;0
10:30:00;1;0;246;301;0;0;1000;72;0
10:35:00;1;0;276;304;0;2;983;61;0
10:40:00;1;0;338;287;0;3;998;64;0
10:45:00;0;0;346;296;0;4;1003;69;0
10:50:00;0;0;339;295;0;0;1005;59;0
10:55:00;2;0;240;296;0;1;986;70;0
11:00:00;1;0;336;289;0;2;1000;66;0
11:05:00;3;0;338;284;0;4;998;59;0
11:10:00;2;0;207;293;0;0;978;59;0
11:15:00;0;0;313;285;0;3;1001;59;0
11:20:00;3;0;322;300;0;4;1005;66;0
11:25:00;3;0;243;291;0;2;989;63;0
11:30:00;1;0;300;293;0;3;982;69;0
11:35:00;0;0;270;297;0;4;972;60;0
11:40:00;0;0;242;288;0;2;1003;61;0
11:45:00;3;0;284;302;0;1;1005;62;0
11:50:00;0;0;184;301;0;2;989;70;0
11:55:00;0;0;299;296;0;0;992;62;0
12:00:00;1;0;350;289;0;4;1005;61;0
12:05:00;0;0;244;298;0;3;981;60;0
12:10:00;1;0;207;296;0;4;991;70;0
12:15:00;1;0;278;300;0;1;1005;60;0
12:20:00;2;0;351;295;0;3;985;62;0
12:25:00;0;0;262;291;0;2;995;63;0
