Schedule.exported.from;data/regimes/fig5_Refinement/5_RandomSearch.csv;;;;;;;;
Lamp timestamp;2025-02-15 14:21:12;;;;;;;;
;380nm;400nm;420nm;450nm;530nm;620nm;660nm;735nm;5700k
00:00:00;0;39;81;0;0;0;84;22;0
00:05:00;0;30;74;0;0;0;64;54;0
00:10:00;0;18;46;0;0;0;15;16;0
00:15:00;0;28;66;0;0;0;110;17;0
00:20:00;0;1;77;0;0;0;122;42;0
00:25:00;0;1;47;0;0;0;104;32;0
00:30:00;0;46;2;0;0;0;58;50;0
00:35:00;0;21;28;0;0;0;133;80;0
00:40:00;0;32;82;0;0;0;87;52;0
00:45:00;0;7;26;0;0;0;84;55;0
00:50:00;0;14;46;0;0;0;12;84;0
00:55:00;0;10;53;0;0;0;128;15;0
01:00:00;0;42;13;0;0;0;14;54;0
01:05:00;0;36;0;0;0;0;141;85;0
01:10:00;0;41;62;0;0;0;126;14;0
01:15:00;0;24;13;0;0;0;66;84;0
01:20:00;0;37;49;0;0;0;103;56;0
01:25:00;0;10;99;0;0;0;112;81;0
01:30:00;0;35;32;0;0;0;27;2;0
01:35:00;0;16;89;0;0;0;130;3;0
01:40:00;0;35;65;0;0;0;90;3;0
01:45:00;0;21;72;0;0;0;68;22;0
01:50:00;0;26;23;0;0;0;121;37;0
01:55:00;0;26;85;0;0;0;2;76;0
02:00:00;0;16;50;0;0;0;121;90;0
02:05:00;0;6;66;0;0;0;130;75;0
02:10:00;0;34;14;0;0;0;18;3;0
02:15:00;0;29;18;0;0;0;120;42;0
02:20:00;0;36;81;0;0;0;57;38;0
02:25:00;0;4;34;0;0;0;24;89;0
02:30:00;0;43;4;0;0;0;88;49;0
02:35:00;0;32;96;0;0;0;14;29;0
02:40:00;0;17;26;0;0;0;86;25;0
02:45:00;0;33;26;0;0;0;27;54;0
02:50:00;0;40;4;0;0;0;30;52;0
02:55:00;0;45;83;0;0;0;63;83;0
03:00:00;0;18;12;0;0;0;100;69;0
03:05:00;0;16;4;0;0;0;15;61;0
03:10:00;0;26;67;0;0;0;32;46;0
03:15:00;0;15;21;0;0;0;36;41;0
03:20:00;0;41;91;0;0;0;68;17;0
03:25:00;0;9;53;0;0;0;35;88;0
03:30:00;0;20;99;0;0;0;24;68;0
03:35:00;0;35;68;0;0;0;62;63;0
03:40:00;0;2;20;0;0;0;77;79;0
03:45:00;0;29;34;0;0;0;132;4;0
03:50:00;0;17;58;0;0;0;10;50;0
03:55:00;0;10;72;0;0;0;17;55;0
04:00:00;0;26;32;0;0;0;2;90;0
04:05:00;0;33;14;0;0;0;26;47;0
04:10:00;0;0;52;0;0;15;39;20;0
04:15:00;0;0;91;0;0;4;21;103;0
04:20:00;0;0;39;0;0;7;29;15;0
04:25:00;0;0;24;0;0;3;81;122;0
04:30:00;0;0;21;0;0;15;14;47;0
04:35:00;0;0;117;0;0;15;30;100;0
04:40:00;0;0;101;0;0;2;76;71;0
04:45:00;0;0;111;0;0;21;12;136;0
04:50:00;0;0;12;0;0;5;10;57;0
04:55:00;0;0;9;0;0;20;75;17;0
05:00:00;0;0;15;0;0;6;43;15;0
05:05:00;0;0;66;0;0;14;20;22;0
05:10:00;0;0;15;0;0;5;61;93;0
05:15:00;0;0;28;0;0;0;0;114;0
05:20:00;0;0;105;0;0;4;55;68;0
05:25:00;0;0;2;0;0;21;86;107;0
05:30:00;0;0;100;0;0;16;69;63;0
05:35:00;0;0;122;0;0;5;68;3;0
05:40:00;0;0;96;0;0;10;55;87;0
05:45:00;0;0;79;0;0;17;3;48;0
05:50:00;0;0;117;0;0;1;74;11;0
05:55:00;0;0;28;0;0;5;0;115;0
06:00:00;0;0;27;0;0;2;7;89;0
06:05:00;0;0;32;0;0;19;52;128;0
06:10:00;0;0;91;0;0;24;25;68;0
06:15:00;0;0;81;0;0;6;72;118;0
06:20:00;0;0;84;0;0;8;26;90;0
06:25:00;0;0;119;0;0;6;46;28;0
06:30:00;0;0;37;0;0;25;12;80;0
06:35:00;0;0;123;0;0;11;11;61;0
06:40:00;0;0;4;0;0;23;31;102;0
06:45:00;0;0;76;0;0;10;83;24;0
06:50:00;0;0;55;0;0;4;33;11;0
06:55:00;0;0;27;0;0;8;92;67;0
07:00:00;0;0;44;0;0;5;88;23;0
07:05:00;0;0;104;0;0;22;0;4;0
07:10:00;0;0;111;0;0;6;20;21;0
07:15:00;0;0;16;0;0;25;80;68;0
07:20:00;0;0;41;0;0;13;63;91;0
07:25:00;0;0;108;0;0;22;50;131;0
07:30:00;0;0;67;0;0;16;89;136;0
07:35:00;0;0;29;0;0;11;76;120;0
07:40:00;0;0;102;0;0;11;89;83;0
07:45:00;0;0;65;0;0;13;75;37;0
07:50:00;0;0;81;0;0;24;59;98;0
07:55:00;0;0;93;0;0;3;2;69;0
08:00:00;0;0;83;0;0;14;68;134;0
08:05:00;0;0;7;0;0;14;16;36;0
08:10:00;0;0;87;0;0;17;21;72;0
08:15:00;0;0;102;0;0;14;21;125;0
08:20:00;0;0;25;37;0;0;38;2;0
08:25:00;0;0;1;37;0;0;123;29;0
08:30:00;0;0;48;1;0;0;82;53;0
08:35:00;0;0;55;15;0;0;62;47;0
08:40:00;0;0;88;8;0;0;79;19;0
08:45:00;0;0;15;30;0;0;26;1;0
08:50:00;0;0;58;5;0;0;129;42;0
08:55:00;0;0;77;14;0;0;122;39;0
09:00:00;0;0;44;32;0;0;72;33;0
09:05:00;0;0;40;40;0;0;76;2;0
09:10:00;0;0;97;37;0;0;16;30;0
09:15:00;0;0;4;9;0;0;55;64;0
09:20:00;0;0;91;16;0;0;24;0;0
09:25:00;0;0;41;4;0;0;7;62;0
09:30:00;0;0;6;13;0;0;6;54;0
09:35:00;0;0;9;25;0;0;122;5;0
09:40:00;0;0;27;12;0;0;136;61;0
09:45:00;0;0;14;9;0;0;51;61;0
09:50:00;0;0;30;39;0;0;72;19;0
09:55:00;0;0;0;32;0;0;67;40;0
10:00:00;0;0;6;28;0;0;52;29;0
10:05:00;0;0;85;28;0;0;26;14;0
10:10:00;0;0;22;9;0;0;29;3;0
10:15:00;0;0;9;24;0;0;43;11;0
10:20:00;0;0;2;7;0;0;132;27;0
10:25:00;0;0;37;3;0;0;100;4;0
10:30:00;0;0;31;32;0;0;43;33;0
10:35:00;0;0;50;0;0;0;0;11;0
10:40:00;0;0;32;23;0;0;75;6;0
10:45:00;0;0;72;3;0;0;46;61;0
10:50:00;0;0;0;22;0;0;87;22;0
10:55:00;0;0;71;5;0;0;64;32;0
11:00:00;0;0;69;36;0;0;47;57;0
11:05:00;0;0;99;36;0;0;33;22;0
11:10:00;0;0;41;12;0;0;125;12;0
11:15:00;0;0;68;37;0;0;17;30;0
11:20:00;0;0;64;14;0;0;125;28;0
11:25:00;0;0;15;11;0;0;50;49;0
11:30:00;0;0;63;16;0;0;3;54;0
11:35:00;0;0;40;43;0;0;14;5;0
11:40:00;0;0;55;45;0;0;44;41;0
11:45:00;0;0;105;36;0;0;123;18;0
11:50:00;0;0;12;5;0;0;20;17;0
11:55:00;0;0;100;2;0;0;77;1;0
12:00:00;0;0;105;13;0;0;31;42;0
12:05:00;0;0;46;4;0;0;106;5;0
12:10:00;0;0;69;20;0;0;33;53;0
12:15:00;0;0;56;4;0;0;11;36;0
12:20:00;0;0;23;6;0;0;125;4;0
12:25:00;0;0;65;41;0;0;38;60;0
