Schedule.exported.from;data/regimes/fig5_Refinement/5a_RandomSearch.csv;;;;;;;;
Lamp timestamp;2025-01-09 14:30:50;;;;;;;;
;380nm;400nm;420nm;450nm;530nm;620nm;660nm;735nm;5700k
00:00:00;0;533;844;0;0;0;872;972;0
00:05:00;0;412;764;0;0;0;839;990;0
00:10:00;0;467;775;0;0;0;880;972;0
00:15:00;0;519;829;0;0;0;874;985;0
00:20:00;0;577;820;0;0;0;861;969;0
00:25:00;0;535;855;0;0;0;863;989;0
00:30:00;0;417;811;0;0;0;861;995;0
00:35:00;0;556;755;0;0;0;839;967;0
00:40:00;0;461;811;0;0;0;869;972;0
00:45:00;0;545;818;0;0;0;839;934;0
00:50:00;0;528;714;0;0;0;849;993;0
00:55:00;0;422;844;0;0;0;885;966;0
01:00:00;0;527;769;0;0;0;862;942;0
01:05:00;0;529;711;0;0;0;842;928;0
01:10:00;0;548;901;0;0;0;861;952;0
01:15:00;0;425;847;0;0;0;870;919;0
01:20:00;0;432;692;0;0;0;848;938;0
01:25:00;0;422;838;0;0;0;840;1000;0
01:30:00;0;576;725;0;0;0;867;923;0
01:35:00;0;540;843;0;0;0;876;997;0
01:40:00;0;472;801;0;0;0;881;942;0
01:45:00;0;473;793;0;0;0;856;927;0
01:50:00;0;510;788;0;0;0;885;968;0
01:55:00;0;469;832;0;0;0;854;970;0
02:00:00;0;578;810;0;0;0;881;921;0
02:05:00;0;477;816;0;0;0;862;988;0
02:10:00;0;433;694;0;0;0;875;951;0
02:15:00;0;494;866;0;0;0;855;967;0
02:20:00;0;568;801;0;0;0;865;947;0
02:25:00;0;544;817;0;0;0;867;1000;0
02:30:00;0;517;858;0;0;0;841;945;0
02:35:00;0;496;875;0;0;0;867;934;0
02:40:00;0;545;852;0;0;0;857;933;0
02:45:00;0;466;818;0;0;0;849;994;0
02:50:00;0;429;695;0;0;0;862;921;0
02:55:00;0;463;759;0;0;0;879;947;0
03:00:00;0;460;823;0;0;0;874;980;0
03:05:00;0;544;716;0;0;0;838;971;0
03:10:00;0;554;805;0;0;0;845;926;0
03:15:00;0;516;859;0;0;0;860;924;0
03:20:00;0;557;710;0;0;0;867;923;0
03:25:00;0;552;889;0;0;0;871;980;0
03:30:00;0;475;745;0;0;0;879;966;0
03:35:00;0;429;721;0;0;0;851;956;0
03:40:00;0;421;725;0;0;0;869;976;0
03:45:00;0;440;707;0;0;0;846;981;0
03:50:00;0;464;778;0;0;0;848;975;0
03:55:00;0;458;740;0;0;0;870;935;0
04:00:00;0;570;690;0;0;0;873;946;0
04:05:00;0;417;698;0;0;0;850;979;0
04:10:00;0;0;752;0;0;715;362;988;0
04:15:00;0;0;751;0;0;731;368;989;0
04:20:00;0;0;775;0;0;650;273;991;0
04:25:00;0;0;762;0;0;581;339;994;0
04:30:00;0;0;753;0;0;958;279;989;0
04:35:00;0;0;784;0;0;881;356;986;0
04:40:00;0;0;764;0;0;784;300;998;0
04:45:00;0;0;788;0;0;756;321;991;0
04:50:00;0;0;771;0;0;860;367;989;0
04:55:00;0;0;757;0;0;893;351;997;0
05:00:00;0;0;787;0;0;933;320;998;0
05:05:00;0;0;774;0;0;979;315;992;0
05:10:00;0;0;781;0;0;762;301;999;0
05:15:00;0;0;759;0;0;559;313;994;0
05:20:00;0;0;787;0;0;987;341;988;0
05:25:00;0;0;762;0;0;921;294;995;0
05:30:00;0;0;784;0;0;635;325;995;0
05:35:00;0;0;766;0;0;772;292;987;0
05:40:00;0;0;786;0;0;617;347;988;0
05:45:00;0;0;755;0;0;956;355;996;0
05:50:00;0;0;783;0;0;605;353;986;0
05:55:00;0;0;769;0;0;602;289;1000;0
06:00:00;0;0;754;0;0;605;324;988;0
06:05:00;0;0;754;0;0;732;322;991;0
06:10:00;0;0;781;0;0;593;334;995;0
06:15:00;0;0;765;0;0;744;365;996;0
06:20:00;0;0;786;0;0;724;308;987;0
06:25:00;0;0;779;0;0;712;276;997;0
06:30:00;0;0;755;0;0;886;333;987;0
06:35:00;0;0;775;0;0;853;331;989;0
06:40:00;0;0;753;0;0;752;358;992;0
06:45:00;0;0;758;0;0;876;390;998;0
06:50:00;0;0;782;0;0;927;302;994;0
06:55:00;0;0;771;0;0;561;368;994;0
07:00:00;0;0;751;0;0;729;360;991;0
07:05:00;0;0;781;0;0;636;322;986;0
07:10:00;0;0;769;0;0;821;287;995;0
07:15:00;0;0;777;0;0;805;393;996;0
07:20:00;0;0;759;0;0;623;382;996;0
07:25:00;0;0;788;0;0;569;319;999;0
07:30:00;0;0;783;0;0;680;383;996;0
07:35:00;0;0;771;0;0;884;290;987;0
07:40:00;0;0;777;0;0;906;321;996;0
07:45:00;0;0;777;0;0;973;284;988;0
07:50:00;0;0;777;0;0;930;344;993;0
07:55:00;0;0;769;0;0;813;297;998;0
08:00:00;0;0;781;0;0;834;368;989;0
08:05:00;0;0;761;0;0;945;339;988;0
08:10:00;0;0;778;0;0;974;306;999;0
08:15:00;0;0;755;0;0;600;306;994;0
08:20:00;0;0;349;299;0;0;972;66;0
08:25:00;0;0;299;302;0;0;992;63;0
08:30:00;0;0;274;303;0;0;985;68;0
