"","15:00:00","16:00:00","16:45:00","17:45:00","18:30:00","19:15:00","19:45:00","20:15:00","20:30:00","21:00:00","21:20:00","21:45:00"
"time","15:00:00","16:00:00","16:45:00","17:45:00","18:30:00","19:15:00","19:45:00","20:15:00","20:30:00","21:00:00","21:20:00","21:45:00"
"hour","15","16","16","17","18","19","19","20","20","21","21","21"
"minute","0","0","45","45","30","15","45","15","30","0","20","45"
"second","0","0","0","0","0","0","0","0","0","0","0","0"
"380nm","0","0","0","0","0","0","0","0","0","0","0","0"
"400nm","0","0","0","0","0","0","0","0","0","0","0","0"
"420nm","0","0","0","0","0","0","0","0","0","0","0","0"
"450nm","0","0","0","0","0","0","0","0","0","0","0","0"
"530nm","0","0","0","0","0","0","0","0","0","0","0","0"
"620nm","0","0","0","0","0","0","0","0","0","0","0","0"
"660nm","799","799","799","799","799","799","694","693","693","694","610","304"
"735nm","899","863","783","783","783","783","670","599","583","480","479","403"
"5700k","0","0","0","0","0","0","0","0","0","0","0","0"
