"","complexity","Comparison","Z","P.unadj","P.adj","signif"
"1","2","individual.lm - individual.nnls",-1.19073115857075,0.116879570880487,0.233759141760975," "
"2","2","individual.lm - multidimensional.nnls",3.92941282328346,4.25767702990829e-05,0.000170307081196331,"***"
"3","2","individual.nnls - multidimensional.nnls",5.12014398185421,1.52651235120632e-07,9.15907410723792e-07,"***"
"4","2","individual.lm - multidimensional.sle",3.71167912571624,0.000102944443627547,0.000308833330882641,"***"
"5","2","individual.nnls - multidimensional.sle",4.90241028428699,4.73339271431134e-07,2.36669635715567e-06,"***"
"6","2","multidimensional.nnls - multidimensional.sle",-0.217733697567222,0.41381830332158,0.41381830332158," "
"7","3","individual.lm - individual.nnls",-0.95257934441568,0.170401623443042,0.340803246886085," "
"8","3","individual.lm - multidimensional.nnls",3.92598772662748,4.31872799146429e-05,0.000172749119658572,"***"
"9","3","individual.nnls - multidimensional.nnls",4.87856707104316,5.34296634651022e-07,3.20577980790613e-06,"***"
"10","3","individual.lm - multidimensional.sle",3.66743047600037,0.000122500068000738,0.000367500204002215,"***"
"11","3","individual.nnls - multidimensional.sle",4.62000982041605,1.91860940602811e-06,9.59304703014054e-06,"***"
"12","3","multidimensional.nnls - multidimensional.sle",-0.258557250627113,0.397988435422511,0.397988435422511," "
"13","4","individual.lm - individual.nnls",-0.884537962671703,0.188202939415279,0.376405878830558," "
"14","4","individual.lm - multidimensional.nnls",4.85135051834557,6.13118058080592e-07,2.45247223232237e-06,"***"
"15","4","individual.nnls - multidimensional.nnls",5.73588848101728,4.85012374145768e-09,2.91007424487461e-08,"***"
"16","4","individual.lm - multidimensional.sle",4.71526775485762,1.20696547722052e-06,3.62089643166156e-06,"***"
"17","4","individual.nnls - multidimensional.sle",5.59980571752932,1.07296085427478e-08,5.36480427137391e-08,"***"
"18","4","multidimensional.nnls - multidimensional.sle",-0.136082763487954,0.445877926753397,0.445877926753397," "
"19","5","individual.lm - individual.nnls",-0.850522256121962,0.19751739603976,0.39503479207952," "
"20","5","individual.lm - multidimensional.nnls",3.64363734522648,0.000134406052439663,0.000537624209758653,"***"
"21","5","individual.nnls - multidimensional.nnls",4.49415960134845,3.49226154265092e-06,2.09535692559055e-05,"***"
"22","5","individual.lm - multidimensional.sle",3.54837885254083,0.00019380513080567,0.00058141539241701,"***"
"23","5","individual.nnls - multidimensional.sle",4.39890110866279,5.44001933780921e-06,2.7200096689046e-05,"***"
"24","5","multidimensional.nnls - multidimensional.sle",-0.0952584926856596,0.46205475535814,0.46205475535814," "
"25","6","individual.lm - individual.nnls",-0.415052428638261,0.339051761528227,0.678103523056454," "
"26","6","individual.lm - multidimensional.nnls",4.53155602414888,2.92754021546853e-06,1.17101608618741e-05,"***"
"27","6","individual.nnls - multidimensional.nnls",4.94660845278714,3.7758830627694e-07,2.26552983766164e-06,"***"
"28","6","individual.lm - multidimensional.sle",4.48392705692809,3.6640860827397e-06,1.09922582482191e-05,"***"
"29","6","individual.nnls - multidimensional.sle",4.89897948556636,4.81678504321548e-07,2.40839252160774e-06,"***"
"30","6","multidimensional.nnls - multidimensional.sle",-0.0476289672207842,0.481005972858851,0.481005972858851," "
"31","7","individual.lm - individual.nnls",-0.476314794958719,0.31692506331109,0.63385012662218," "
"32","7","individual.lm - multidimensional.nnls",5.21564700479798,9.15883596993635e-08,3.66353438797454e-07,"***"
"33","7","individual.nnls - multidimensional.nnls",5.69196179975669,6.2793977792158e-09,3.76763866752948e-08,"***"
"34","7","individual.lm - multidimensional.sle",5.1680155253021,1.18296330440258e-07,3.54888991320773e-07,"***"
"35","7","individual.nnls - multidimensional.sle",5.64433032026082,8.29127156942816e-09,4.14563578471408e-08,"***"
"36","7","multidimensional.nnls - multidimensional.sle",-0.0476314794958721,0.481004971742328,0.481004971742328," "
"37","8","individual.lm - individual.nnls",-0.467654219302461,0.320015942395111,0.640031884790221," "
"38","8","individual.lm - multidimensional.nnls",6.12033180658538,4.66903514675397e-10,1.86761405870159e-09,"***"
"39","8","individual.nnls - multidimensional.nnls",6.58798602588784,2.22916297818047e-11,1.33749778690828e-10,"***"
"40","8","individual.lm - multidimensional.sle",6.12033180658538,4.66903514675397e-10,1.40071054402619e-09,"***"
"41","8","individual.nnls - multidimensional.sle",6.58798602588784,2.22916297818047e-11,1.11458148909024e-10,"***"
"42","8","multidimensional.nnls - multidimensional.sle",0,0.5,0.5," "
